ID;NAME;SURNAME;SENIORITY
"1";"Marta";"Radziwil";"1"
"2";"Magda";"Radziwil";"3"
"3";"Jan";"Trzmiel";"2"
"4";"Dawid";"Mrowka";"1"
"5";"Waldemar";"Szynka";"2"
"6";"Waldemar";"Szynka";"2"
"7";"Piotr";"Okno";"4"
"8";"Wojtek";"Trzmiel";"4"
"9";"Michal";"Grabarz";"3"
"10";"Magda";"Kim";"2"
"11";"Karol";"Konewka";"2"
"12";"Kaja";"Trzmiel";"4"
"13";"Karol";"Konewka";"1"
"14";"Karol";"Radziwil";"1"
"15";"Dobromil";"Kapusta";"1"
"16";"Piotr";"Piekarz";"2"
"17";"Magda";"Grabarz";"1"
"18";"Justyna";"Radziwil";"3"
"19";"Magda";"Koniczyn";"3"
"20";"Karol";"Szymek";"3"
"21";"Karol";"Mrowka";"4"
"22";"Marta";"Kapusta";"1"
"23";"Magda";"Okno";"4"
"24";"Magda";"Szymek";"4"
"25";"Marta";"Lekarz";"1"
"26";"Wieslawa";"Grabarz";"1"
"27";"Karol";"Kapusta";"4"
"28";"Dobromil";"Lekarz";"4"
"29";"Dobromil";"Piekarz";"3"
"30";"Wojtek";"Piekarz";"3"
