ID,NAME,SURNAME,SENIORITY
1,Adrianna,Koczara,1
2,Miłosz,Radziewicz,4
3,Dagmara,Kaczka,3
4,Dawid,Bogaczyk,2
5,Leonard,Sławik,2
6,Mikołaj,Bruzda,1
7,Przemysław,Dolega,1
8,Szymon,Smalec,1
9,Rafał,Kucharz,4
10,Janina,Kwapisiewicz,2
11,Melania,Krzyszczak,3
12,Cyprian,Elsner,4
13,Tola,Hajdas,2
14,Jeremi,Pitala,4
15,Alan,Ładniak,2
16,Kamil,Słyk,3
17,Nicole,Uroda,2
18,Dagmara,Nazar,2
19,Aniela,Wasiuk,4
20,Karina,Furgała,1
21,Kaja,Szyc,1
22,Antoni,Hus,1
23,Ernest,Pawlukiewicz,1
24,Leon,Duras,4
25,Filip,Burchardt,3
26,Agnieszka,Bździuch,2
27,Karina,Honkisz,2
28,Szymon,Gaudyn,2
29,Karina,Rode,4
30,Olaf,Pachnik,4
31,Adrian,Trzop,1
32,Miłosz,Skutnik,3
33,Cyprian,Zioła,3
34,Maurycy,Słobodzian,2
35,Marcelina,Macias,2
36,Leon,Potok,3
37,Miłosz,Jajko,4
38,Wiktor,Gajowiak,3
39,Mikołaj,Sładek,3
40,Ernest,Bulak,1
41,Kornelia,Ćwirko,1
42,Tymon,Januchta,4
43,Julianna,Kucewicz,4
44,Elżbieta,Lato,2
45,Tola,Rutowicz,4
46,Cyprian,Nojman,3
47,Ignacy,Smolorz,3
48,Jerzy,Galek,3
49,Malwina,Foit,4
50,Adrian,Poniedziałek,3
51,Łukasz,Pastucha,1
52,Natasza,Turczyk,2
53,Norbert,Kowaluk,2
54,Adam,Chatys,3
55,Witold,Grabas,2
56,Bartek,Nesterowicz,1
57,Sylwia,Kinder,3
58,Aleks,Budzeń,3
59,Karina,Kucharz,3
60,Marcelina,Małyszek,1
61,Ernest,Ochnio,2
62,Marek,Siarkiewicz,1
63,Paweł,Grzelec,3
64,Olgierd,Goik,3
65,Miłosz,Mikusek,1
66,Angelika,Pieczyrak,1
67,Ada,Sładek,2
68,Sara,Florian,1
69,Dawid,Obarzanek,4
70,Oskar,Szałaj,3
71,Bruno,Pesta,2
72,Olaf,Rybus,3
73,Kalina,Kohut,3
74,Anita,Miotke,4
75,Alan,Władyka,2
76,Mariusz,Antoszczyk,1
77,Antoni,Migda,2
78,Dawid,Pietrus,3
79,Natasza,Niksa,4
80,Hubert,Reich,4
81,Jeremi,Władyka,1
82,Kamil,Godzwon,1
83,Grzegorz,Butrym,3
84,Kajetan,Dziopa,1
85,Wojciech,Ropiak,3
86,Dominik,Sypek,1
87,Gaja,Pik,4
88,Józef,Ścibisz,3
89,Mieszko,Pielka,4
90,Monika,Maligłówka,3
91,Kajetan,Siatka,3
92,Karina,Rurarz,2
93,Bruno,Pachołek,1
94,Kacper,Raźny,2
95,Hubert,Steuer,2
96,Dagmara,Drobot,3
97,Oskar,Jarczak,3
98,Jędrzej,Nyc,1
99,Dorota,Derek,2
100,Oskar,Łyp,2
