ID,NAME,SURNAME,SENIORITY,TRANSPORT,TIME_MINUTES
1,Dorota,Gwara,1,Pieszo,14
2,Oliwier,Gasz,1,Samochód,5
3,Miłosz,Bździuch,1,Pieszo,31
4,Inga,Szlęk,1,Samochód,74
5,Aleksander,Pachuta,4,Pieszo,66
6,Ernest,Dyczko,4,Skuter,5
7,Roksana,Maciejewicz,2,Samochód,67
8,Adrian,Jarmuż,1,Pieszo,90
9,Jeremi,Gołoś,2,Samochód,48
10,Michał,Kołaczyk,2,Skuter,30
11,Stefan,Pasiut,1,Samochód,36
12,Kornel,Pęksa,4,Hulajnoga,39
13,Aleksander,Elsner,2,Rower,32
14,Wojciech,Siembab,4,Samochód,8
15,Cyprian,Bobel,4,Hulajnoga,83
16,Tymon,Deryło,1,Samochód,9
17,Kalina,Tyniec,1,Samochód,13
18,Anita,Bociek,2,Hulajnoga,84
19,Inga,Bugiel,3,Pieszo,56
20,Róża,Brańka,4,Skuter,49
21,Rafał,Nóżka,3,Pieszo,82
22,Sara,Barcz,2,Skuter,27
23,Justyna,Wajdzik,4,Rower,77
24,Alex,Filek,1,Samochód,12
25,Gustaw,Witas,1,Skuter,25
26,Olga,Rajch,1,Samochód,3
27,Nataniel,Dziduch,2,Hulajnoga,11
28,Apolonia,Rudolf,2,Hulajnoga,46
29,Inga,Teter,3,Pieszo,14
30,Maurycy,Drabczyk,2,Skuter,67
31,Nataniel,Żywica,4,Samochód,71
32,Juliusz,Noras,1,Samochód,14
33,Kornel,Matwiejczyk,3,Skuter,60
34,Gaja,Jeżyna,4,Hulajnoga,78
35,Ryszard,Janoszek,3,Pieszo,17
36,Norbert,Pazdan,2,Rower,83
37,Patryk,Kopiczko,2,Samochód,22
38,Gaja,Koman,4,Rower,7
39,Eryk,Hanus,4,Rower,90
40,Leonard,Boduch,1,Pieszo,52
41,Szymon,Małas,1,Hulajnoga,78
42,Sonia,Pielech,3,Skuter,54
43,Sonia,Drozda,3,Pieszo,17
44,Kornel,Koterba,3,Pieszo,16
45,Marika,Wiszowaty,3,Skuter,3
46,Maurycy,Roter,2,Pieszo,23
47,Olga,Czochara,2,Samochód,67
48,Eliza,Fal,1,Hulajnoga,13
